Short description,sd_len,sd_word_count,Description,desc_len,desc_word_count,Language,Caller,Assignment group
retrieve datum from old to new laptop,37,7,receive from email hello i forget the password of old laptop and i have to submit the same to india office before do that i want to transfer some datum especially engineering tool could please help in resolve the issue,218,40,English,jkpwisnf lgpdyncm,0
windows account lock,20,3,windows account lock,20,3,English,chobktqj qdamxfuc,0
job hr payroll na u fail in job scheduler at,44,10,receive from email job hr payroll na u fail in job scheduler at,63,13,English,bpctwhsn kzqsbmtp,10
job hr payroll na u fail in job scheduler at,44,10,receive from email job hr payroll na u fail in job scheduler at,63,13,English,bpctwhsn kzqsbmtp,10
job hr payroll na u fail in job scheduler at,44,10,receive from email job hr payroll na u fail in job scheduler at,63,13,English,bpctwhsn kzqsbmtp,10
battery at warning status,25,4,battery show warn status,24,4,English,spxqmiry zpwgoqju,19
unable to login to erp sid,26,6,unable to login to erp sid,26,6,English,vwdghyai pjehycoz,0
unable to connect to vpn,24,5,unable to connect to vpn vpn,28,6,English,aqdjcuhn lagfitkz,0
unlock erp logon,16,3,receive from email hello please help unlock erp logon i can not logon the erp system input password best,104,19,English,jofvunqs uwigjmzv,0
security tool password manager service down in component server lhqsm,69,10,lhqsm security tool application be down component name security tool password manager be down,93,14,English,jyoqwxhz clhxsoqy,2
hostname plm conversion production alwaysupservice exe wrong number of instance of process alwaysupservice exe ex,113,15,hostname plm conversion production alwaysupservice exe wrong number of instance of process alwaysupservice exe,110,14,English,jyoqwxhz clhxsoqy,14
hostname space consume space available m,40,6,hostname volume f label dat hostname deb on server hostname be over space consume space available m,99,17,English,jyoqwxhz clhxsoqy,12
lhbsm disk space consume space available g,42,7,lhbsm volume f label dat lhbsm ecc on server lhbsm be over space consume space available g,90,17,English,jyoqwxhz clhxsoqy,12
job snp heu regen fail in job scheduler at,42,9,receive from email job snp heu regen fail in job scheduler at,61,12,English,bpctwhsn kzqsbmtp,6
job snp heu regen fail in job scheduler at,42,9,receive from email job snp heu regen fail in job scheduler at,61,12,English,bpctwhsn kzqsbmtp,6
job sid hoti fail in job scheduler at,37,8,receive from email job sid hoti fail in job scheduler at,56,11,English,bpctwhsn kzqsbmtp,5
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,6
job sid hoti fail in job scheduler at,37,8,receive from email job sid hoti fail in job scheduler at,56,11,English,bpctwhsn kzqsbmtp,5
job bk hana sid os wly dp fail in job scheduler at,50,12,receive from email job bk hana sid os wly dp fail in job scheduler at,69,15,English,bpctwhsn kzqsbmtp,5
job bk hana sid os wly fail in job scheduler at,47,11,receive from email job bk hana sid os wly fail in job scheduler at,66,14,English,bpctwhsn kzqsbmtp,5
vip how can i change password remotely i m travel and expire in day,67,14,receive from email send from mail,33,6,English,yxvqdtmk kbicqjrp,0
not able to access to t or p drive,34,9,name cighytol yjurztgd language browser microsoft internet explorer email email customer number telephone summary hello close down laptop and start vpn again have not solve the issue i do not have access to t or p drive today team and global i can t do any work until this access be restore please help,302,54,English,cighytol yjurztgd,0
unable to connect to outlook,28,5,unable to connect to outlook,28,5,English,kailyenh zfyvkopr,0
ms office installation,22,3,ms office installation contact no,33,5,English,mcphgvnb bdegqtyj,0
power supply fail on library,28,5,from timnhyt rehtyulds send sunday september be to datacenter cc dacl subject re qa cold backup,95,16,English,rkupnshb gsmzfojw,8
hostname the service be down after the weekend reboot erpstartsrv exe,69,11,hostname the service be down after the weekend reboot erpstartsrv exe,69,11,English,rkupnshb gsmzfojw,14
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,5
job co val update crosscomp fail in job scheduler at,52,10,receive from email job co val update crosscomp fail in job scheduler at,71,13,English,bpctwhsn kzqsbmtp,10
job snp heu regen fail in job scheduler at,42,9,receive from email job snp heu regen fail in job scheduler at,61,12,English,bpctwhsn kzqsbmtp,6
job snp heu regen fail in job scheduler at,42,9,receive from email job snp heu regen fail in job scheduler at,61,12,English,bpctwhsn kzqsbmtp,6
network outage malaysia site hard down since am et on,53,10,what type of outage x network circuit power please specify what type of outage top cert site no yes no na when do start am et on scheduled maintenance power no yes no na company power provider power schedule maintenance network no yes no na company maint yes no provider maint ticket do site have a backup circuit yes yes no na backup circuit active no yes no na site contact notify phone email yes no na remote dial in yes no na equipment reset yes no na verify site work on backup circuit yes no na vendor ticket global telecom verizon telecom vendor telecom vendor notify gsc yes no na cert start yes no na additional diagnostic,631,118,English,spxqmiry zpwgoqju,8
hostname c label sys hostname ab on server hostname be over space consume space available g,91,16,hostname c label sys hostname ab on server hostname be over space consume space available g,91,16,English,spxqmiry zpwgoqju,39
restore ppt,11,2,restore ppt,11,2,English,navfgybz fuavxjzk,0
erp login password issue,24,4,receive from email hello face erp login problem password issue with good,72,12,English,ojgfmvep zbatowgi,0
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,9
job mm zscr wkly rollfgyuej fail in job scheduler at,52,10,receive from email job mm zscr wkly rollfgyuej fail in job scheduler at,71,13,English,bpctwhsn kzqsbmtp,8
engineering tool installation ms office installation vpn access erp access,74,10,engineering tool installation ms office installation vpn access erp access,74,10,English,mcphgvnb bdegqtyj,0
job sid cold fail in job scheduler at,37,8,receive from email job sid cold fail in job scheduler at,56,11,English,bpctwhsn kzqsbmtp,5
job sid cold fail in job scheduler at,37,8,receive from email job sid cold fail in job scheduler at,56,11,English,bpctwhsn kzqsbmtp,5
job sid cold fail in job scheduler at,37,8,receive from email job sid cold fail in job scheduler at,56,11,English,bpctwhsn kzqsbmtp,5
job job fail in job scheduler at,32,7,receive from email job job fail in job scheduler at,51,10,English,bpctwhsn kzqsbmtp,5
vpn issue,9,2,hi liuytre sorry to hear of the issue with ethic and vpn that re experience do have access to vpn now and should be able to connect through also please could share the error have when try to get into ethic i understand there be a change in employment status which may be contribute to but will need to confirm please share when the change take place and the error message,371,71,English,qcfmxgid jvxanwre,0
ethic issue,11,2,hi liuytre sorry to hear of the issue with ethic and vpn that re experience do have access to vpn now and should be able to connect through also please could share the error have when try to get into ethic i understand there be a change in employment status which may be contribute to but will need to confirm please share when the change take place and the error message,371,71,English,qcfmxgid jvxanwre,0
erp sid account lock,20,4,erp sid account lock,20,4,English,myaornqv fkjmpxbh,0
unable to connect to vpn,24,5,unable to connect to vpn,24,5,English,sydgvpao aocjqrmz,0
power outage jundiai company company sifco jundiai rtr circuit be down since at am et on no backup,98,18,what type of outage x network circuit power please specify what type of outage top cert site na yes no na when do start am et on scheduled maintenance power yes no na company power provider power schedule maintenance network yes no na company maint yes no provider maint ticket do site have a backup circuit na yes no na backup circuit active na yes no na site contact notify phone email yes no na remote dial in yes no na equipment reset yes no na verify site work on backup circuit yes no na vendor ticket global telecom verizon telecom vendor telecom vendor notify gsc yes no na cert start yes no na additional diagnostic,624,116,English,oldrctiu bxurpsyi,8
